"","true.psi","misse","mean_turnover_error1","median_turnover_error1","var_turnover1","mean_turnover_error2","median_turnover_error2","var_turnover2","mean_eps_error1","median_eps_error1","var_eps1","mean_eps_error2","median_eps_error2","var_eps2","mean_netdiv_error1","median_netdiv_error1","var_netdiv1","mean_netdiv_error2","median_netdiv_error2","var_netdiv2","m_prop_median","m_median","k_prop_median","k_median","mean.psi.error","median.psi.error","var.psi"
"1",0.01,"extant",0.0499564527200443,0.050197663261567,0.0129260697651127,1.33552588253608,0.00918510309822551,96.4268378176565,-0.0442989874884035,-0.00522255529551247,0.0357532842077113,0.100115247740044,0.106521153629346,0.0131678242724719,0.0155347031348857,0.00641926297460781,0.00139257349167049,-0.130316372108129,-0.0311144602562537,0.437036010490833,NA,NA,NA,NA,-0.01,-0.01,0
"2",0.01,"full_k",0.0369002783296349,0.0229049544845995,0.0120538822913866,1.19468343060933,-0.0149286472005885,87.4910749430568,-0.038895598505939,0.00640772434225051,0.0326256810668204,0.078426354473326,0.071438196066191,0.0148905816532488,0.0146385282586117,0.00556806017694926,0.00154768627780693,-0.0708186922429873,-0.0234111518379647,0.0973578587594819,0.0320358377696065,19,1,20,-0.000692637566298626,-0.000855862866925326,3.94413867756101e-06
"3",0.01,"half_k",0.0757249928838046,0.069279924352931,0.0132209792205313,0.387691045582894,0.028191976098319,3.29522204643762,0.0295064277697823,0.061469808142791,0.0274981647908829,0.133627729492039,0.136903692380665,0.00965482754533262,0.00685890737601251,-0.00290100305723239,0.00134574800352725,-0.0646141088780825,-0.0367539078710597,0.0404991150913738,0.0320358377696065,19,0.5,10,-0.00409780382405212,-0.00420654247652679,1.21991271414662e-06
"4",0.01,"strat_int",-0.0508462531501838,-0.0563171943812185,0.00925419289888211,0.0246104478789557,-0.0320878225125425,0.067669863036833,-0.0895666828484487,-0.0581814259565965,0.037916452830839,0.0234800278769955,0.024464903233381,0.0156982453295148,0.00650975492208546,0.00381920578098766,0.000617873575742302,-0.0141086597991947,-0.014164929877112,0.0024170684560977,0.0320358377696065,19,NA,0,0.000999318318987318,0.0006991127757813,6.20588887172157e-06
"5",0.01,"zero_k",0.130358710095622,0.120186008407306,0.0155068334913647,0.3333429222265,0.122403779574309,1.37234369584629,0.114525084108062,0.114481394454951,0.0198327419420619,0.19886448778063,0.203668339457398,0.00565361147442256,-0.00450035397114886,-0.00929373734327529,0.0008501827097455,-0.0510747071990142,-0.0520535767629839,0.000706710121898318,0.0320358377696065,19,0,0,-0.00685531386502078,-0.00688327293711644,4.40349127811893e-07
"6",0.05,"extant",0.0506972082803638,0.050474806028454,0.0130909943087737,1.25450608726968,0.00917631268115299,95.6406941407104,-0.0434476199052383,-0.00332456912440904,0.0355449815212153,0.0946499992682718,0.096764115755492,0.0132200404410433,0.0148512697863206,0.00739278445061436,0.00133133613673178,-0.121011673594472,-0.0303697341750076,0.437300338751151,NA,NA,NA,NA,-0.05,-0.05,0
"7",0.05,"full_k",0.00542955860275674,0.00310932132234501,0.00408688463065662,0.0361164476593972,0.00524359549936598,0.0633061012619541,-0.0383524860764484,0.00122096659509546,0.0236582966082538,0.0484347742424193,0.0427455894421585,0.0129068441980347,0.00891693714447119,0.00152727184088691,0.000867843030613715,-0.0243406235651515,-0.0149915208602167,0.00359975601924764,0.137155689039058,80,1,114,-0.000596586281277752,-0.000536524452762852,2.13110191839941e-05
"8",0.05,"half_k",0.0878182481086826,0.0814898540816985,0.00937198411439942,0.150031168119378,0.132388593315584,0.0503361322051157,0.0686571486676834,0.103624398014014,0.0223276484118302,0.145902857673241,0.145183588413346,0.0047882014143153,-0.00122759976728944,-0.00588528576113474,0.000527808426143255,-0.0375259599956731,-0.0388904037972812,0.000931844958586912,0.137155689039058,80,0.5,57,-0.0231804891715712,-0.0232528913876703,5.35195253231734e-06
"9",0.05,"strat_int",-0.0654813370693096,-0.0692889157703785,0.00197594169895351,-0.0643394016497256,-0.090433546402329,0.0475371567686476,-0.0894789868312034,-0.092255381209075,0.0283390198242607,-0.0508071762227567,-0.058678341027807,0.018210822292282,0.0087608157453507,0.00493420587866411,0.00106857729564983,-0.00109470532935863,0.00365066270735352,0.00293929899406858,0.137155689039058,80,NA,0,0.0148211554526546,0.0150890855061442,4.61460097572756e-05
"10",0.05,"zero_k",0.218884321264219,0.196990349124796,0.0198264160773093,1.64875666811303,0.772599572895215,3.85060008574021,0.270782207100374,0.236292126246148,0.0257427844402382,0.256345927709516,0.249731489769302,0.00203287493903378,-0.0318345512769366,-0.0309567421346485,0.000748812082657623,-0.0662361956319279,-0.0642553955118277,0.000628354105794971,0.137155689039058,80,0,0,-0.0424086452736852,-0.0422946754817421,3.26749304907176e-06
"11",0.1,"extant",0.0494504680097407,0.0501975295238705,0.0130158513721503,0.47157969384593,0.0077328593295905,7.79141542955023,-0.032367974856415,0.00401792832739251,0.0283931968024744,0.0912067714394022,0.0975067960482825,0.0110688316306138,0.0114918436531209,0.00524126791767481,0.000924997226060573,-0.0223468755568388,-0.0298334594748324,0.102115907005628,NA,NA,NA,NA,-0.1,-0.1,0
"12",0.1,"full_k",0.00970915473100369,-0.000545633685508001,0.0055233703622218,0.879294670926767,0.0127563363124205,72.1083471366889,-0.00731502469092821,0.0047900885487035,0.0130037358558245,0.0398250693147927,0.025690114397128,0.0104645837350921,0.00385206930579268,0.00101910510022391,0.000399198684337329,-0.0387390061876509,-0.00978833905559448,0.0719776261742755,0.232156690325147,134,1,258,-0.000435706142154566,-0.00069138283450465,3.80665186949477e-05
"13",0.1,"half_k",0.100584823434125,0.0808964020721995,0.011759483228603,0.286567243416256,0.1784644029292,0.92834307795398,0.088200808328202,0.102870430351189,0.00786706829025702,0.146606329054111,0.135559761897518,0.00561155365593808,-0.00476894824360744,-0.00689180473663764,0.000218586643031365,-0.0365326906022286,-0.0297613162125309,0.0021128936206044,0.232156690325147,134,0.5,129,-0.0479089988879691,-0.0481590056700089,1.06332989421086e-05
"14",0.1,"strat_int",-0.0464281930479829,-0.0496255843812825,0.00202535502832407,-0.0928781059914536,-0.093172362479029,0.00974969272010224,-0.0275017205532575,-0.0627368847513885,0.028934828265648,-0.0564258047017466,-0.066161286853391,0.011938589154624,0.0028091217399617,0.00252859541522091,0.000527488270674266,0.00826756327674119,0.00403045700460497,0.001179861964519,0.232156690325147,134,NA,0,0.0308921619075329,0.030489583255687,9.66986796671753e-05
"15",0.1,"zero_k",0.287672986167434,0.281087739650506,0.0259981460895265,2.92994612422183,2.21954935180726,4.84422281070585,0.370838549724935,0.29304366072628,0.0297423322068467,0.246019773264839,0.243673198588687,0.0012871919503898,-0.0562180988576121,-0.0460724042478589,0.00115726594982335,-0.0608981878668371,-0.0591100441548702,0.000566295436949615,0.232156690325147,134,0,0,-0.0910378133277375,-0.0912476000630948,5.95907432502239e-06
